C.D.S.  -  SIMBAD4 rel 1.5  -  2016.03.12CET12:33:24

Vmag < 5 & dec > -40
--------------------

Number of objects : 1443

 #  	       identifier        	typ	 coord1 (ICRS,J2000/2000)  	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	      spec. type      
----	-------------------------	---	---------------------------	------	------	------	------	------	----------------------
88  	* 10 Lac                 	** 	339.81532766 +39.05026977  	 3.650	 4.670	 4.880	 4.98 	 5.19 	O9V                   
89  	* ups01 Cas              	PM*	013.75064678 +58.97269745  	     ~	 6.060	 4.829	     ~	     ~	K2III                 
90  	* alf And                	a2*	002.09691619 +29.09043112  	 1.48 	 1.95 	 2.06 	 2.09 	 2.19 	B8IV-VHgMn            
91  	* pi.02 Cyg              	SB*	326.69836799 +49.30956975  	 3.4  	 4.11 	 4.18 	     ~	     ~	B3III                 
92  	* gam Her A              	*  	245.480175 +19.153022      	     ~	 4.004	 3.726	     ~	     ~	~                     
93  	HR 6196                  	*iN	250.39326390 -17.74216624  	     ~	 6.008	 4.930	     ~	     ~	G8II/III              
94  	* 20 Tau                 	*  	056.45669401 +24.36774621  	 3.40 	 3.80 	 3.87 	 3.85 	 3.90 	B8III                 
95  	* tau Peg                	dS*	350.15934117 +23.74033605  	     ~	 4.756	 4.592	     ~	     ~	A5Vp_lB               
96  	[SC96] Mis 162           	UV 	253.0000 -38.0333          	     ~	     ~	 2.51 	     ~	     ~	B1.5Vpv...            
97  	* sig Ser                	PM*	245.51811472 +01.02904261  	     ~	 5.137	 4.820	 4.6  	 4.5  	A9Ib/II               
98  	* iot CMa                	bC*	104.03426719 -17.05424097  	 3.62 	 4.312	 4.385	     ~	     ~	B3Ib/II               
99  	* alf Lep                	V* 	083.18256716 -17.82228927  	 3.02 	 2.77 	 2.57 	 2.35 	 2.14 	F0Ib                  
100 	* zet Sct                	SB*	275.91492955 -08.93438570  	     ~	 5.618	 4.673	     ~	     ~	K0III                 
101 	* zet Pyx                	PM*	129.92697543 -29.56108303  	     ~	 5.761	 4.886	     ~	     ~	G5III                 
102 	* eps Ori                	s*b	084.05338894 -01.20191914  	 0.48 	 1.51 	 1.69 	 1.76 	 1.93 	B0Ia                  
103 	* 27 Lyn                 	PM*	122.11435967 +51.50666818  	     ~	 4.833	 4.802	     ~	 4.71 	A2V                   
104 	* alf Cnc                	PM*	134.62176132 +11.85770033  	     ~	 4.401	 4.259	     ~	 4.13 	kA7VmF0/2III/IVSr     
105 	* 12 Com                 	SB*	185.62629903 +25.84616263  	 5.56 	 5.30 	 4.81 	 4.34 	 4.01 	F6III+A3V             
