C.D.S.  -  SIMBAD4 rel 1.5  -  2016.03.12CET12:33:24

Vmag < 5 & dec > -40
--------------------

Number of objects : 1443

 #  	       identifier        	typ	 coord1 (ICRS,J2000/2000)  	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	      spec. type      
----	-------------------------	---	---------------------------	------	------	------	------	------	----------------------
426 	V* V1974 Cyg             	No*	307.63171 +52.63092        	     ~	18.5  	 4.2  	17.9  	     ~	~                     
427 	* 41 Com                 	*  	196.79470844 +27.62473847  	 8.14 	 6.22 	 4.69 	 3.64 	 2.83 	K5III-IV              
428 	* e Her                  	*  	259.41772614 +37.29149985  	 4.67 	 4.70 	 4.65 	 4.56 	 4.56 	A2V                   
429 	* gam Col                	V* 	089.38420657 -35.28328202  	 3.52 	 4.18 	 4.36 	     ~	     ~	B2.5IV                
430 	* psi02 Ori              	bC*	081.70928871 +03.09567231  	 3.45 	 4.393	 4.595	     ~	     ~	B2IV                  
431 	* kap Lep                	** 	078.30782337 -12.94129064  	 3.92 	 4.327	 4.421	     ~	     ~	B7V                   
432 	* 110 Vir                	V* 	225.72515818 +02.09130400  	 6.31 	 5.44 	 4.40 	 3.59 	 3.05 	K0IV                  
433 	* pi. Aqr                	Be*	336.31926188 +01.37739850  	 3.64 	 4.60 	 4.64 	 4.48 	 4.48 	B1III-IVe             
434 	TYC 6436-2246-1          	*  	038.461292 -28.232344      	     ~	 4.90 	 4.96 	     ~	     ~	~                     
435 	* c Oph                  	Be*	262.85397556 -23.96264266  	 4.75 	 4.81 	 4.81 	 4.74 	 4.72 	A0V                   
436 	* d Sgr                  	*  	289.40866415 -18.95290777  	     ~	 5.889	 4.889	     ~	     ~	K0III                 
437 	Cl Blanco 1              	OpC	001.0292 -29.8333          	     ~	     ~	 4.5  	     ~	     ~	~                     
438 	V* V983 Cen              	SB*	207.95667234 -32.99408521  	 3.59 	 4.39 	 4.53 	     ~	     ~	B5III                 
439 	* eta Sct                	*  	284.26529034 -05.84631157  	     ~	 5.908	 4.826	     ~	     ~	K0III                 
440 	* d Dra                  	*  	278.14384313 +57.04559809  	     ~	 5.368	 4.781	     ~	     ~	F7Ib                  
441 	HR 6842                  	*  	274.51329734 -27.04264302  	     ~	 6.332	 4.662	     ~	     ~	K3III                 
442 	* b Cen                  	*  	220.48996116 -37.79349834  	 3.14 	 3.83 	 4.00 	 4.11 	 4.26 	B3V                   
443 	* ksi01 CMa              	bC*	097.96402649 -23.41842169  	 3.10 	 4.09 	 4.33 	 4.45 	 4.72 	B0.7IV                
444 	* 15 Vul                 	a2*	300.27520192 +27.75357330  	     ~	 4.837	 4.663	     ~	     ~	A4III                 
445 	* 1 Pup                  	V* 	115.88494408 -28.41088421  	 8.16 	 6.22 	 4.59 	 3.29 	 2.32 	K5III                 
446 	* phi UMa                	*  	148.02647655 +54.06433229  	     ~	 4.607	 4.560	     ~	     ~	A3IV                  
447 	* pi. Ser                	*  	240.57371524 +22.80445284  	     ~	 4.894	 4.817	     ~	     ~	A3V                   
448 	* eta Scl                	LP*	006.98207790 -33.00716603  	 8.26 	 6.45 	 4.81 	 3.22 	 1.84 	M2/3III               
449 	* bet CVn                	SB*	188.43560344 +41.35747912  	 4.91 	 4.86 	 4.25 	 3.73 	 3.42 	G0V                   
450 	* alf CrA                	*  	287.36808739 -37.90447284  	     ~	 4.165	 4.102	     ~	     ~	A2Va                  
451 	* h Eri                  	HB*	055.70856364 -37.31351660  	     ~	 5.793	 4.595	     ~	     ~	K2IIICNII             
452 	* a Hya                  	*  	130.00613061 -12.47537253  	     ~	 6.421	 4.987	     ~	     ~	K3III                 
453 	NGC 6530                 	OpC	271.1292 -24.3583          	     ~	 4.74 	 4.6  	     ~	     ~	~                     
454 	* nu. Gem                	Be*	097.24077556 +20.21213490  	 3.51 	 4.00 	 4.14 	 4.17 	 4.28 	B6IVe                 
455 	* del Crt                	PM*	169.83519818 -14.77853925  	 5.66 	 4.67 	 3.56 	 2.73 	 2.13 	K0III                 
456 	* sig02 Tau              	*  	069.81875960 +15.91797304  	     ~	 4.832	 4.675	     ~	     ~	A5Vn                  
457 	V* BE Cam                	LP*	057.38033286 +65.52597263  	 8.49 	 6.36 	 4.48 	 2.77 	 1.35 	M2II                  
458 	* lam Gem                	** 	109.52324905 +16.54038626  	     ~	 3.692	 3.581	     ~	     ~	A4IV                  
459 	* zet Aqr                	** 	337.20794520 -00.01994285  	     ~	 4.06 	 3.65 	     ~	     ~	F3III-IV              
460 	* lam Cet                	*  	044.92874947 +08.90735830  	 4.13 	 4.58 	 4.70 	 4.72 	 4.70 	B6III                 
461 	* 17 Lep                 	Sy*	091.24637120 -16.48443612  	 5.29 	 5.17 	 4.93 	     ~	     ~	Ap_sh                 
462 	* kap Cep                	** 	302.22228442 +77.71142087  	 4.24 	 4.355	 4.395	     ~	     ~	B9III                 
463 	* k01 Pup                	*  	114.705750 -26.801803      	 3.76 	 4.33 	 4.50 	     ~	     ~	B6V                   
464 	* tau Cyg A              	PM*	318.697754 +38.045375      	     ~	 4.23 	 3.83 	     ~	     ~	~                     
465 	* phi Psc                	** 	018.43727646 +24.58371082  	 6.57 	 5.69 	 4.66 	 3.91 	 3.39 	K0III                 
466 	* ome Sco                	bC*	241.70177884 -20.66919173  	 3.10 	 3.92 	 3.97 	 3.91 	 3.99 	B1V                   
467 	* 52 Cyg                 	*  	311.41563767 +30.71971544  	 6.16 	 5.29 	 4.23 	 3.46 	 2.93 	G9.5III               
468 	* bet Lac                	** 	335.89009894 +52.22904573  	 6.26 	 5.46 	 4.44 	 3.67 	 3.10 	G8.5IIIb              
469 	* ups Peg                	PM*	351.34493127 +23.40410016  	 5.15 	 5.01 	 4.40 	 3.86 	 3.54 	F8IV                  
470 	* zet Her                	SB*	250.32150433 +31.60271870  	 3.640	 3.430	 2.800	 2.31 	 1.99 	G0IV                  
471 	CoRoT 110778159          	*  	103.5310 -03.1026          	     ~	     ~	 0.000	     ~	     ~	~                     
472 	* 5 CVn                  	*  	186.00622584 +51.56225708  	     ~	 5.635	 4.767	     ~	     ~	G6III                 
473 	* eps Dra                	** 	297.04312834 +70.26793035  	 5.25 	 4.73 	 3.84 	 3.19 	 2.71 	G8III+F5III           
474 	* iot Cet                	PM*	004.85697568 -08.82391974  	 5.94 	 4.77 	 3.55 	 2.70 	 2.11 	K1II+(K)              
475 	* 13 Vul A               	*  	298.365392 +24.079603      	     ~	 4.577	 4.642	     ~	     ~	~                     
476 	* chi02 Ori              	s*b	090.97993675 +20.13845324  	 4.24 	 4.91 	 4.63 	 4.32 	 4.10 	B2Ia                  
477 	* eps Oph                	*  	244.58037393 -04.69250958  	 4.95 	 4.21 	 3.23 	 2.54 	 2.05 	G9.5IIIb              
478 	HR 8748                  	*  	343.60403482 +84.34617675  	     ~	 6.156	 4.699	     ~	     ~	K4III                 
479 	* 106 Her                	V* 	275.07464502 +21.96129601  	 8.54 	 6.54 	 4.96 	 3.62 	 2.62 	M0III                 
480 	* zet Hya                	*  	133.84844223 +05.94556539  	 4.92 	 4.10 	 3.10 	 2.39 	 1.90 	G9II-III              
481 	* b Ori                  	*  	085.61930317 +01.47462933  	 7.13 	 6.07 	 4.90 	 4.02 	 3.41 	K1III                 
482 	* 71 Oph                 	*  	271.82649670 +08.73386545  	     ~	 5.598	 4.647	     ~	     ~	G8III                 
483 	* kap Ser                	V* 	237.18490319 +18.14156506  	 7.66 	 5.71 	 4.09 	 2.84 	 1.86 	M0.5III               
484 	* iot Hya                	V* 	144.96400602 -01.14280930  	 6.68 	 5.23 	 3.91 	 2.92 	 2.25 	K2III                 
485 	* 109 Her                	V* 	275.92454066 +21.76975183  	 6.18 	 5.02 	 3.84 	 2.99 	 2.39 	K2III                 
486 	* o Ori                  	SB*	080.440612 -00.382464      	 3.79 	 4.58 	 4.74 	 4.79 	 4.97 	B2IV                  
487 	HR 1129                  	*  	056.50971197 +63.34504553  	     ~	 5.541	 4.817	     ~	     ~	G0III+...             
488 	* del Cep                	cC*	337.29277091 +58.41519830  	 4.71 	 4.35 	 3.75 	     ~	 3.219	F5Iab:+B7-8           
489 	* gam Cep                	SB*	354.83688137 +77.63227434  	 5.190	 4.250	 3.220	 2.6  	 2.1  	K1III-IV_CN1          
490 	* pi.01 Ori              	PM*	073.72386986 +10.15083201  	     ~	 4.737	 4.656	     ~	     ~	A3Va                  
491 	* b01 Aqr                	*  	350.74260858 -20.10058231  	 6.03 	 5.08 	 3.98 	 3.16 	 2.56 	K0III                 
492 	* pi.03 Ori              	PM*	072.46004544 +06.96127453  	 3.620	 3.630	 3.190	 2.77 	 2.51 	F6V                   
493 	* del03 Tau A            	PM*	066.372450 +17.927908      	     ~	 4.30 	 4.25 	     ~	     ~	~                     
494 	* 17 Mon                 	*  	101.83262629 +08.03725428  	 7.82 	 6.17 	 4.77 	 3.74 	 3.04 	K4III                 
495 	* 11 Lac                 	*  	340.12857837 +44.27630673  	 7.15 	 5.79 	 4.46 	 3.54 	 2.86 	K2.5III               
496 	HD 143454                	No*	239.87567149 +25.92016492  	 2.69 	 2.10 	 2.00 	     ~	     ~	M3III+p               
497 	* eta Oph                	** 	257.59452871 -15.72490664  	 2.56 	 2.47 	 2.42 	 2.39 	 2.38 	A2IV-V                
498 	* 104 Her                	V* 	272.97565348 +31.40534918  	 8.56 	 6.62 	 4.97 	     ~	     ~	M3III                 
499 	* 68 Oph                 	*  	270.43832849 +01.30507709  	     ~	 4.473	 4.439	     ~	     ~	A2Vn                  
500 	HD 21389                 	sg*	052.47810052 +58.87874987  	 4.99 	 5.10 	 4.54 	 4.03 	 3.53 	A0Ia                  
501 	* psi Per                	Be*	054.12241593 +48.19263304  	 3.60 	 4.17 	 4.23 	     ~	     ~	B5Ve                  
502 	* iot PsA                	*  	326.23670599 -33.02578278  	 4.18 	 4.29 	 4.34 	 4.35 	 4.38 	A0V                   
503 	Cl Collinder 399         	Cl*	291.3500 +20.1833          	     ~	 3.93 	 3.6  	     ~	     ~	~                     
504 	* chi Cas                	*  	023.48282088 +59.23204243  	     ~	 5.678	 4.692	     ~	     ~	G9IIIb                
505 	* mu. Eri                	Al*	071.37562660 -03.25466015  	 3.26 	 3.87 	 4.00 	     ~	     ~	B5IV                  
506 	* 8 And                  	V* 	349.43602989 +49.01530048  	 8.50 	 6.53 	 4.86 	 3.40 	 2.14 	M2III                 
507 	* k Lup                  	*  	231.33424262 -38.73361581  	     ~	 4.60 	 4.60 	     ~	     ~	A0V                   
508 	* lam Aql                	*  	286.56224574 -04.88255574  	 3.07 	 3.34 	 3.43 	 3.46 	 3.55 	B9Vn                  
509 	* tet02 Tau              	dS*	067.16558623 +15.87088182  	 3.690	 3.600	 3.410	 5.43 	     ~	A7III                 
510 	* mu. Hya                	V* 	156.52260958 -16.83628968  	 7.11 	 5.29 	 3.81 	 2.70 	 1.87 	K4III                 
511 	* a Cen                  	Ro*	215.75932929 -39.51181924  	 3.50 	 4.24 	 4.42 	 4.53 	 4.70 	B2V                   
512 	* l Per                  	V* 	050.36066087 +43.32964971  	     ~	 5.017	 4.947	     ~	     ~	A3V                   
513 	* bet UMi                	V* 	222.67635750 +74.15550394  	 5.32 	 3.55 	 2.08 	 0.97 	 0.21 	K4III                 
514 	* iot Cyg                	*  	292.42649467 +51.72977939  	     ~	 3.917	 3.769	     ~	     ~	A5V                   
515 	* b03 Aqr                	** 	353.31926250 -20.91450430  	     ~	 4.728	 4.709	     ~	     ~	A0V                   
516 	* d Per                  	bC*	065.38818986 +46.49887650  	 4.31 	 4.767	 4.814	     ~	     ~	B4IV                  
517 	NAME * f Pup AB          	** 	114.342117 -34.968522      	     ~	 4.461	 4.540	     ~	     ~	~                     
518 	NGC 6633                 	OpC	276.8800 +06.5700          	     ~	 5.01 	 4.6  	     ~	     ~	~                     
519 	* w Pup                  	*  	125.34594439 -33.05436519  	 7.73 	 6.26 	 4.80 	 3.83 	 3.08 	K2+IIIa               
520 	* ksi Sco                	SB*	241.092462 -11.372944      	     ~	 4.64 	 4.17 	 4.3  	     ~	F4(V)+F6(V)+G1V       
521 	* iot Aur                	V* 	074.24842121 +33.16609957  	 6.00 	 4.22 	 2.69 	 1.63 	 0.81 	K3II-III              
522 	* u Her                  	Al*	259.33153152 +33.10010086  	 3.87 	 4.63 	 4.80 	     ~	     ~	B1.5Vp+...            
523 	* tau06 Eri              	PM*	056.71203413 -23.24972349  	     ~	 4.65 	 4.20 	     ~	     ~	F5IV-V                
524 	* v Eri                  	*  	052.65440929 -05.07514552  	     ~	 4.642	 4.727	     ~	     ~	B9III                 
525 	* eps Cyg                	** 	311.55284318 +33.97025693  	 4.370	 3.520	 2.480	 1.73 	 1.19 	K0III-IV              
526 	* 13 Lyr                 	sr*	283.83375928 +43.94609208  	 7.00 	 5.59 	 4.00 	 1.95 	 0.04 	M5III                 
527 	IC 4756                  	OpC	279.6300 +05.4900          	     ~	 4.96 	 4.6  	     ~	     ~	~                     
528 	* psi Boo                	PM*	226.11142641 +26.94764996  	 7.12 	 5.78 	 4.55 	 3.62 	 2.97 	K2III                 
529 	* alf Ori                	s*r	088.79293899 +07.40706400  	 4.38 	 2.27 	 0.42 	-1.17 	-2.45 	M1-M2Ia-ab            
530 	* 20 CVn                 	dS*	199.38558721 +40.57260763  	     ~	 5.015	 4.715	     ~	     ~	F3III                 
531 	* g Cen                  	sr*	207.36134063 -34.45077580  	 7.15 	 5.69 	 4.19 	 2.06 	 0.19 	M5III                 
532 	* 58 And                 	PM*	032.12191661 +37.85907948  	 5.08 	 4.94 	 4.82 	 4.68 	 4.61 	A5IV-V                
533 	* 119 Tau                	sr*	083.05313545 +18.59423433  	 8.63 	 6.41 	 4.33 	 2.55 	 1.13 	M2Iab:                
534 	* bet Aur                	Al*	089.88217887 +44.94743257  	 1.97 	 1.93 	 1.90 	 1.82 	 1.83 	A1IV-Vp               
535 	* nu.02 Sgr              	*  	283.77975408 -22.67133847  	 7.80 	 6.30 	 4.98 	 4.04 	 3.38 	K1Ib/II               
536 	* 2 Aur                  	*  	073.15825296 +36.70318431  	     ~	 6.211	 4.787	     ~	     ~	K3III                 
537 	* chi Leo                	V* 	166.25428143 +07.33600653  	     ~	 4.96 	 4.63 	 4.4  	 4.3  	F2III-IVv             
538 	* b02 Aqr                	V* 	351.51160692 -20.64201751  	 7.65 	 5.86 	 4.39 	 3.27 	 2.46 	K4III                 
539 	* E Hya                  	PM*	222.57212122 -27.96037002  	 7.28 	 5.81 	 4.41 	 3.33 	 2.57 	K3III                 
540 	* rho Cet                	*  	036.48752334 -12.29047511  	     ~	 4.847	 4.869	     ~	     ~	A0V                   
541 	* iot Tri                	** 	033.09283344 +30.30306751  	 6.048	 5.741	 4.952	 5.2  	     ~	G0III+G5III           
542 	* alf For A              	PM*	048.017892 -28.989006      	     ~	 4.51 	 3.98 	     ~	     ~	F6V                   
543 	* omi Pup                	Be*	117.02153497 -25.93717008  	 3.42 	 4.43 	 4.49 	 4.37 	 4.37 	B1IVe                 
544 	* gam Aqr                	PM*	335.41406425 -01.38733418  	 3.65 	 3.815	 3.847	     ~	     ~	A0V                   
545 	* ksi Aql                	PM*	298.56200766 +08.46145276  	     ~	 5.769	 4.722	     ~	     ~	G9IIIb                
546 	* psi01 Lup              	*  	234.94157859 -34.41191847  	     ~	 5.639	 4.668	     ~	     ~	G8/K0III              
547 	* ome And                	** 	021.91409071 +45.40668685  	 5.25 	 5.25 	 4.83 	 4.42 	 4.19 	F4IV                  
548 	* phi Her                	a2*	242.19240603 +44.93490732  	 3.92 	 4.20 	 4.27 	 4.27 	 4.36 	B9VspHgMn             
549 	BD+37 34A                	*  	004.272908 +38.681636      	     ~	 4.66 	 4.60 	     ~	     ~	~                     
550 	* bet Del                	SB*	309.38725542 +14.59508875  	 4.16 	 4.07 	 3.63 	 3.23 	 2.99 	F5IV                  
551 	HR 1952                  	SB*	085.21131240 -01.12878793  	 3.91 	 4.74 	 4.95 	     ~	     ~	B3V                   
552 	* m Pup                  	bL*	114.57518921 -25.36480601  	     ~	 4.59 	 4.70 	     ~	     ~	B8III                 
553 	* f UMa                  	*  	137.21774014 +51.60464804  	 4.87 	 4.75 	 4.48 	 4.21 	 4.10 	kA3VmF5IIISr          
554 	V* HR Del                	No*	310.58477611 +19.16091994  	     ~	12.46 	 3.70 	12.69 	     ~	~                     
555 	* 30 Vul                 	SB*	311.21876832 +25.27061561  	 7.28 	 6.10 	 4.91 	 4.06 	 3.48 	K2III                 
556 	* mu. Ser                	*  	237.40502902 -03.43020438  	 3.39 	 3.49 	 3.53 	 3.54 	 3.59 	A0V                   
557 	HIP 17797                	** 	057.14948851 -37.62015040  	     ~	 4.25 	 4.26 	     ~	     ~	A1IVs                 
558 	* o Tau                  	*  	081.90868360 +21.93696495  	 3.98 	 4.729	 4.865	     ~	     ~	B2.5V                 
559 	* alf UMa B              	*  	165.931663 +61.750872      	     ~	 5.34 	 4.91 	     ~	     ~	A7.5                  
560 	HD 211073                	*  	333.46970616 +39.71492611  	 7.32 	 5.88 	 4.49 	 3.48 	 2.74 	K3III                 
561 	* ksi CrB                	** 	245.52426628 +30.89199548  	     ~	 5.829	 4.857	     ~	     ~	K0III                 
562 	* bet Aql                	PM*	298.82830234 +06.40676180  	 5.040	 4.560	 3.710	 3.05 	 2.56 	G9.5IV                
563 	NAME CMA Dwarf Galaxy    	G  	108.1500 -27.6667          	     ~	     ~	-0.1  	     ~	     ~	~                     
564 	* tet Lyr                	*  	289.09206197 +38.13372873  	 6.87 	 5.64 	 4.38 	 3.51 	 2.93 	K0III                 
565 	* g Dra                  	*  	250.22966219 +64.58904460  	     ~	 6.055	 4.848	     ~	     ~	K0III                 
566 	* iot Cap                	BY*	320.56164853 -16.83454438  	 5.74 	 5.18 	 4.27 	 3.65 	 3.17 	G8III                 
567 	* 15 Mon A               	** 	100.244400 +09.895753      	     ~	 4.449	 4.683	     ~	     ~	O7V                   
568 	* omi And                	Be*	345.48026914 +42.32598150  	 3.00 	 3.53 	 3.62 	 3.61 	 3.69 	B6IIIpe+...           
569 	* bet Her                	SB*	247.55499811 +21.48961132  	 4.39 	 3.70 	 2.77 	 2.13 	 1.65 	G7IIIa_Fe-0.5         
570 	* bet Vir                	PM*	177.67382599 +01.76471973  	 4.26 	 4.15 	 3.60 	 3.13 	 2.85 	F9V                   
571 	* lam Ori A              	Em*	083.784487 +09.934156      	 2.17 	 3.48 	 3.47 	     ~	     ~	O8III                 
572 	HD 183912                	*  	292.680358 +27.959678      	 4.83 	 4.21 	 3.08 	 2.21 	 1.55 	K3II                  
573 	* 4 Lac                  	*  	336.12912782 +49.47639378  	 4.33 	 4.67 	 4.58 	 4.45 	 4.35 	B9Iab                 
574 	* d Eri                  	*  	066.00923853 -34.01684839  	 7.25 	 5.45 	 3.96 	 2.79 	 1.96 	K4III                 
575 	* tet Aql                	SB*	302.826108 -00.821475      	 3.03 	 3.15 	 3.22 	 3.29 	 3.33 	B9.5III               
576 	* tet01 Ser              	*  	284.05492290 +04.20358679  	     ~	 4.79 	 4.62 	     ~	     ~	A5V                   
577 	* bet Psc                	Be*	345.96922289 +03.82004617  	 3.90 	 4.40 	 4.52 	 4.54 	 4.67 	B6Ve                  
578 	* tet Oph                	bC*	260.50241395 -24.99954638  	 2.18 	 3.03 	 3.26 	 3.38 	 3.58 	OB                    
579 	* 18 Mon                 	SB*	101.96520651 +02.41215935  	 6.62 	 5.58 	 4.47 	 3.68 	 3.13 	K0III                 
580 	* del Col                	SB*	095.52845131 -33.43639785  	 5.25 	 4.73 	 3.85 	 3.18 	 2.71 	G7II                  
581 	* 139 Tau                	Em*	089.49856800 +25.95391107  	 3.82 	 4.76 	 4.82 	 4.76 	 4.87 	B0/1II/III            
582 	* 6 CMi                  	V* 	112.44909052 +12.00656520  	     ~	 5.846	 4.547	     ~	     ~	K1III                 
583 	* 19 Pup                 	** 	122.81794105 -12.92699866  	 6.44 	 5.68 	 4.72 	 3.99 	 3.51 	K0III                 
584 	* tet Leo                	V* 	168.56001859 +15.42957058  	 3.40 	 3.33 	 3.35 	 3.32 	 3.34 	A2IV                  
585 	* h Cen                  	SB*	208.30224803 -31.92760963  	 4.04 	 4.59 	 4.73 	     ~	     ~	B4IV                  
586 	* g Gem                  	SB*	116.53102956 +18.51004292  	 8.09 	 6.33 	 4.87 	 3.72 	 2.89 	K4III                 
587 	* 15 Ori                 	** 	077.42482376 +15.59723360  	 5.33 	 5.14 	 4.82 	 4.50 	 4.31 	F2IV                  
588 	* iot Her                	bC*	264.86619203 +46.00633336  	 2.940	 3.630	 3.800	     ~	     ~	B3IV                  
589 	CD-33 16270A             	*  	343.131383 -32.875556      	     ~	 4.46 	 4.51 	     ~	     ~	A0VpSrCrEu            
590 	* c02 Aqr                	*  	347.36165339 -21.17241145  	 6.09 	 4.87 	 3.64 	 2.80 	 2.20 	K1III                 
591 	* 2 Sex                  	PM*	144.61370676 +04.64929058  	 7.45 	 6.00 	 4.68 	 3.62 	 2.91 	K3III                 
592 	* lam Eri                	bC*	077.28659645 -08.75408079  	 3.17 	 4.07 	 4.27 	 4.35 	 4.55 	B2IVne                
593 	* b Cap                  	*  	322.18083625 -21.80718067  	 6.00 	 5.40 	 4.50 	 3.83 	 3.37 	K0III                 
594 	* mu. PsA                	V* 	332.09586690 -32.98846901  	 4.60 	 4.55 	 4.50 	 4.43 	 4.38 	A1.5IVn               
595 	* mu. Lep                	a2*	078.23292366 -16.20546904  	 2.78 	 3.18 	 3.29 	 3.30 	 3.42 	B9IV:...              
596 	* tet UMa                	SB*	143.21430793 +51.67730032  	 3.67 	 3.64 	 3.18 	 2.74 	 2.47 	F7V                   
597 	* alf Per                	V* 	051.08070872 +49.86117930  	 2.64 	 2.27 	 1.79 	     ~	     ~	F5Ib                  
598 	* b Pup                  	SB*	118.16102761 -38.86281402  	 3.61 	 4.312	 4.480	     ~	     ~	B2V                   
599 	* 3 And                  	PM*	346.04576060 +50.05208957  	     ~	 5.71 	 4.65 	 4.0  	 3.5  	K0IIIb                
600 	* rho Oph                	** 	246.39632359 -23.44717083  	 4.30 	 4.85 	 4.63 	 4.27 	 3.96 	B2IV+B2V              
601 	* 58 Per                 	SB*	069.17262573 +41.26481147  	 6.31 	 5.50 	 4.26 	 3.31 	 2.61 	K4III+...             
602 	* alf Hya                	PM*	141.89684460 -08.65859953  	 5.14 	 3.42 	 1.97 	 0.93 	 0.16 	K3II-III              
603 	* iot Cep                	V* 	342.42007060 +66.20040656  	 5.50 	 4.60 	 3.54 	 2.69 	 2.19 	K0III                 
604 	* eps Per                	bC*	059.46346687 +40.01021532  	 1.71 	 2.71 	 2.89 	 2.96 	 3.14 	B1.5III               
605 	* k Aqr                  	LP*	311.93432910 -05.02770055  	 8.04 	 6.11 	 4.44 	 2.97 	 1.66 	M3III                 
606 	* ups01 Eri              	V* 	068.37730151 -29.76649236  	 6.20 	 5.49 	 4.51 	 3.76 	 3.22 	K0III-IV              
607 	* sig Sco                	bC*	245.29714880 -25.59279208  	 2.32 	 3.02 	 2.89 	 1.69 	 1.58 	O9.5(V)+B7(V)         
608 	* ups Her                	*  	240.69957352 +46.03670476  	 4.33 	 4.628	 4.714	     ~	     ~	B9III                 
609 	* sig Hya                	*  	129.68932277 +03.34143614  	 6.91 	 5.63 	 4.43 	 3.54 	 2.98 	K2III                 
610 	* c02 Cen                	*  	221.24667338 -35.19182626  	     ~	 4.939	 4.923	     ~	     ~	A0IVnn                
611 	HR 7652                  	*  	300.88941298 -37.94070101  	     ~	 6.214	 4.771	     ~	     ~	K4III                 
612 	HR 3809                  	*  	143.76595839 +39.62149241  	     ~	 5.795	 4.815	     ~	     ~	G9.5III               
613 	* l Cen                  	*  	189.96886831 -39.98730294  	 4.16 	 4.56 	 4.64 	 4.66 	 4.75 	B8II/III              
614 	HR 4132                  	SB*	158.30786999 +40.42556034  	     ~	 4.925	 4.728	     ~	     ~	A7IV                  
615 	* pi.05 Ori              	SB*	073.56290018 +02.44067308  	 2.72 	 3.54 	 3.73 	 3.79 	 3.99 	B3III+...             
616 	* alf Ant                	V* 	156.78791820 -31.06777671  	 7.33 	 5.70 	 4.25 	 3.15 	 2.36 	K4III                 
617 	* mu.02 Sco              	V* 	253.08393884 -38.01753495  	 2.52 	 3.357	 3.544	     ~	     ~	B2IV                  
618 	* gam Ser                	V* 	239.11326123 +15.66161682  	 4.31 	 4.34 	 3.84 	 3.37 	 3.13 	F6IV                  
619 	* bet01 Cap              	SB*	305.25280525 -14.78138307  	 4.14 	 3.87 	 3.08 	 2.53 	 2.03 	K0:II:+...            
620 	* nu.03 CMa A            	*  	099.472588 -18.237475      	     ~	 5.60 	 4.43 	     ~	     ~	~                     
621 	* ome CMa                	Be*	108.70272445 -26.77266936  	 2.90 	 3.64 	 3.82 	 3.80 	 3.90 	B2IV-Ve               
622 	* gam Aql                	*  	296.56491787 +10.61326133  	 5.93 	 4.23 	 2.72 	 1.65 	 0.87 	K3II                  
623 	* gam Per                	Al*	046.19912808 +53.50643576  	 4.08 	 3.63 	 2.93 	 2.34 	 1.89 	G8III+...             
624 	* nu. Eri                	bC*	069.07975601 -03.35246019  	 2.82 	 3.739	 3.920	     ~	     ~	B2III                 
625 	* eta Lep                	*  	089.10122085 -14.16769969  	 4.05 	 4.05 	 3.72 	 3.39 	 3.23 	F2V                   
626 	HR 6628                  	*  	267.29365485 -31.70320662  	     ~	 4.764	 4.806	     ~	     ~	B8Ib/II               
627 	* chi Her                	PM*	238.16892255 +42.45151845  	 5.19 	 5.19 	 4.62 	 4.14 	 3.82 	G0V_Fe-0.8            
628 	[SC93] 126               	UV 	094.3000 +09.8833          	     ~	     ~	 4.64 	     ~	     ~	A2V                   
629 	* I Hya                  	Be*	145.32086383 -23.59151484  	 4.07 	 4.65 	 4.76 	 4.75 	 4.84 	B5V                   
630 	* nu. Peg                	V* 	331.41979874 +05.05853337  	 8.08 	 6.28 	 4.84 	 3.77 	 3.01 	K4III                 
631 	BD+46 275A               	*  	017.375537 +47.241783      	     ~	 4.231	 4.294	     ~	     ~	~                     
632 	* 136 Tau                	SB*	088.33185857 +27.61226051  	     ~	 4.549	 4.557	     ~	     ~	A0V                   
633 	* bet01 Sco              	SB*	241.35929993 -19.80545278  	 1.68 	 2.55 	 2.62 	 2.60 	 2.69 	B1V                   
634 	* del CrB                	RS*	237.39852840 +26.06839070  	 5.80 	 5.43 	 4.63 	 4.00 	 3.58 	G3.5III               
635 	* iot Per                	PM*	047.26674943 +49.61327768  	 4.76 	 4.64 	 4.05 	 3.7  	 3.4  	F9.5V                 
636 	* eps Ari B              	*  	044.80304 +21.34042        	     ~	 4.67 	 4.63 	     ~	     ~	A2Vs                  
637 	* gam Ari                	a2*	028.38256161 +19.29385527  	     ~	 3.84 	 3.88 	     ~	     ~	kA0hA3(IV)SiSr+B9.5IV 
638 	* lam Cyg                	** 	311.85224026 +36.49071491  	 3.93 	 4.43 	 4.54 	 4.58 	 4.69 	B5V                   
639 	HD 10307                 	SB*	025.44642983 +42.61336743  	 5.69 	 5.58 	 4.96 	 4.43 	 4.10 	G1.5V                 
640 	* 6 Dra                  	*  	188.68338883 +70.02176833  	     ~	 6.268	 4.956	     ~	     ~	K3III                 
641 	Cl Melotte 186           	OpC	270.2750 +02.9000          	     ~	     ~	 3.0  	     ~	     ~	~                     
642 	* tau02 Hya              	*  	142.99553036 -01.18466385  	     ~	 4.659	 4.555	     ~	     ~	A2V                   
643 	M 39                     	OpC	322.9500 +48.4333          	     ~	 4.66 	 4.6  	     ~	     ~	~                     
644 	* ksi UMa A              	SB*	169.545425 +31.529161      	     ~	 4.81 	 4.264	     ~	     ~	F8.5:V                
