C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST10:33:57

 IdentList
----------

 #  ;        typed ident        ;            identifier             ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;   radvel   ;  Mag V  
21  ;* tet Aur                  ;* tet Aur                          ;089.93029218 +37.21258463          ;   43.63 -73.79     ;19.70     ;29.30       ;2.62     
22  ;* ksi Vir                  ;* ksi Vir                          ;176.3210011321 +08.2581152819      ;   60.08 -24.50     ;26.73     ;-0.5        ;4.842    
23  ;* 28 Mon                   ;* 28 Mon                           ;120.3055655842 -01.3926093036      ;   67.60 -76.26     ;7.25      ;26.70       ;4.680    
24  ;* tau Gem                  ;* tau Gem                          ;107.7848763073704 +30.2451637698539;-30.725 -48.515     ;8.3261    ;21.27       ;4.42     
25  ;* del Pyx                  ;* del Pyx                          ;133.8815300704900 -27.6818482123900;82.731 -101.976     ;14.0808   ;5.40        ;4.89     
26  ;* del Cas                  ;* del Cas                          ;021.4539644621 +60.2352840297      ;  296.57 -49.22     ;32.81     ;6.70        ;2.680    
27  ;* pi. Eri                  ;* pi. Eri                          ;056.5355634167500 -12.1015884820100;  56.125 59.445     ;6.3943    ;45.20       ;4.42     
28  ;* ksi Pup                  ;* ksi Pup                          ;117.3235652742 -24.8597862414      ;    -4.81 -0.89     ;2.72      ;2.80        ;3.30     
29  ;[CCA99] UGC 4017b          ;[CCA99] UGC 4017b                  ;116.73229 +39.00719                ;            ~ ~     ;      ~   ;~           ;     ~   
30  ;* lam Per                  ;* lam Per                          ;061.6460149808 +50.3512638775      ;  -12.75 -35.60     ;7.73      ;6.1         ;4.29     
31  ;V* AW CVn                  ;V* AW CVn                          ;207.9478139283 +34.4442392367      ;  -20.02 -32.33     ;5.43      ;-44.21      ;4.74     
32  ;* omi Leo                  ;* omi Leo                          ;145.2876376996 +09.8923083842      ; -143.20 -37.20     ;25.03     ;26.18       ;3.52     
33  ;* alf UMi                  ;* alf UMi                          ;037.95456067 +89.26410897          ;   44.48 -11.85     ;7.54      ;-16.42      ;2.02     
34  ;* u Car                    ;* u Car                            ;163.3735671312863 -58.8531703698178;  78.169 38.800     ;33.5225   ;8.10        ;3.79     
35  ;* pi. Pup                  ;* pi. Pup                          ;109.28565325 -37.09747115          ;    -10.05 6.47     ;4.04      ;15.80       ;2.70     
36  ;* del Cap                  ;* del Cap                          ;326.7601843312 -16.1272870853      ; 261.70 -296.70     ;84.27     ;-3.40       ;2.83     
37  ;* eps Del                  ;* eps Del                          ;308.3032163325 +11.3032614408      ;   11.96 -28.97     ;9.87      ;-19.40      ;4.03     
38  ;HR 1621                    ;HD 32309                           ;075.3565856356700 -20.0519189661300; 36.928 -15.404     ;16.5691   ;24.2        ;4.885    
39  ;* 31 Ori                   ;* 31 Ori                           ;082.4332583730200 -01.0922384262200;  0.754 -25.459     ;6.517     ;6.02        ;4.71     
40  ;* zet02 Sco                ;* zet02 Sco                        ;253.6458542998620 -42.3613158363006;-126.721 -228.837   ;24.2353   ;-18.70      ;3.62     
41  ;* g Aqr                    ;* g Aqr                            ;340.8968044433 -18.8303765794      ;  -31.73 -28.54     ;7.53      ;21.70       ;4.69     
42  ;* l Eri A                  ;* l Eri A                          ;069.545104254 -14.303983153        ;   -76.0 -167.2     ;      ~   ;~           ;3.89     
43  ;* eta Pav                  ;* eta Pav                          ;266.4332751967 -64.7238720531      ;  -11.96 -56.57     ;9.26      ;-7.60       ;3.581    
44  ;* pi. Tau                  ;* pi. Tau                          ;066.6515476902800 +14.7137818582000; -8.802 -30.335     ;8.0403    ;31.37       ;4.69     
45  ;* bet Scl                  ;* bet Scl                          ;353.2427457450 -37.8182658333      ;    95.97 38.29     ;18.74     ;0.40        ;4.37     
46  ;* ome Cas                  ;* ome Cas                          ;029.0001179194500 +68.6852399760700; 15.067 -10.313     ;4.4802    ;-23.8       ;4.968    
47  ;M 7                        ;NGC 6475                           ;268.4470 -34.8410                  ; 3.0722 -5.3157     ;3.5704    ;-14.7       ;     ~   
48  ;* bet Leo                  ;* bet Leo                          ;177.26490976 +14.57205806          ;-497.68 -114.67     ;90.91     ;-0.20       ;2.13     
49  ;* bet Phe A                ;* bet Phe A                        ;016.521230313 -46.718498686        ;      -26.9 6.1     ;      ~   ;~           ;4.00     
50  ;* bet01 Sgr                ;* bet01 Sgr                        ;290.6595800497600 -44.4589583846900;  2.890 -18.125     ;8.3782    ;-10.7       ;4.01     
