316.6503908975,+47.6484025083,6.079,4.514,~
314.9564755197900,+47.5209343740100,4.71,4.75,4.62
325.5236024242,+51.1896226439,4.55,4.66,~
356.7643932733900,+58.6519910357300,5.993,4.873,~
358.5959688760500,+57.4993818715000,5.85,4.59,3.63
010.1268377829,+56.5373311583,3.4,2.23,1.45
012.2762274762175,+57.8151772888100,4.02,3.44,2.94
017.7756760283,+55.1499020164,4.51,4.33,4.16
027.9971670169200,+55.1473843593700,5.34,5.52,~
030.5754516905400,+54.4875403155500,4.96,5.04,5.01
041.0499442308762,+49.2284485192150,4.62,4.11,3.67
056.2984668088,+42.5785508022,4.22,3.8,3.4
310.5526271694100,+50.3400186015400,5.286,5.401,~
328.7214745337200,+56.6112263958200,6.52,5.8,5.12
330.5190526126099,+58.0003638218100,5.551,5.542,~
332.7136538163,+58.2012626631,4.9,3.35,2.27
333.7591554115146,+57.0435685376581,4.47,~,4
337.2927709100,+58.4151982933,4.35,3.75,~
346.6534077321,+59.4197599161,4.771,4.84,~
347.4339120861600,+59.3326908497600,5.977,5.679,~
002.29452158,+59.14978110,2.61,2.27,1.97
013.7506487615800,+58.9726992072100,6.042,4.82,~
014.1662714433700,+59.1810570241900,5.581,4.622,~
014.1772154,+60.7167403,2.29,2.39,2.32
023.4828394889600,+59.2320539143100,5.675,4.681,~
020.0204852774400,+58.2316132344100,5.66,4.98,4.34
035.5893096279400,+55.8456528759100,5.54,5.17,4.79
043.5644905034600,+52.7624674264700,4.71,3.96,3.33
049.6572570530000,+50.2221763049100,5.074,5.157,~
047.2667470883371,+49.6132783481508,4.64,~,3.7
049.7818303531400,+50.0949693787300,4.962,5.032,~
052.6436890250900,+47.9952163484000,5.71,4.36,~
053.1094136030700,+46.0568615573800,5.73,5.32,4.91
303.3252244331900,+46.8156752644300,4.911,4.819,~
303.8680175512000,+47.7142260923600,5.5,3.98,2.78
306.7594478900400,+49.3833623318200,6.024,5.715,~
307.5147539413700,+48.9515668247800,4.835,4.936,~
307.8284022818300,+49.2202954980400,6.99,5.44,~
325.8769210725,+58.7800444947,6.43,4.08,1.98
332.8774021296000,+59.4144872958000,5.29,5.05,4.77
351.2094265613,+62.2828081542,6.592,4.955,~
001.6105721928200,+64.1961579699500,5.56,5.59,~
001.0569268875700,+62.2876642308100,6.154,5.884,~
006.1979394689500,+61.8310578050800,5.375,5.377,~
008.2499633179,+62.9317826039,4.3,4.16,4.02
021.4539644621,+60.2352840297,2.81,2.68,2.53
025.8323194590000,+60.5513324754700,5.76,5.76,~
