 #  	       identifier        	typ	 coord1 (ICRS,J2000/2000)  	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	      spec. type      
----	-------------------------	---	---------------------------	------	------	------	------	------	----------------------
125 	GES J12382549-6028310    	*  	189.6062917 -60.4753127    	 0.000	 0.000	 0.000	     ~	 0.000	~                     
126 	* sig CMa                	LP*	105.42978244 -27.93483049  	 7.08 	 5.20 	 3.47 	 2.15 	 1.15 	K5Ib                  
127 	IDS 15505-3340 AB        	** 	239.2237 -33.9639          	     ~	 4.68 	 4.58 	     ~	     ~	~                     
128 	HR 4522                  	Ce*	176.62842739 -61.17839899  	     ~	 5.01 	 4.10 	     ~	     ~	G5Ib/II               
129 	Cl Feinstein 1           	OpC	166.6800 -59.8200          	     ~	 4.84 	 4.7  	     ~	     ~	~                     
130 	* eps Car B              	*  	125.628650 -59.509556      	     ~	 3.93 	 3.85 	     ~	     ~	B2Vp                  
131 	* gam Gru                	*  	328.48219248 -37.36485527  	 2.52 	 2.89 	 3.01 	 3.06 	 3.12 	B8III                 
132 	* eps02 Lyr              	** 	281.09491902 +39.61271808  	     ~	 4.77 	 4.59 	     ~	     ~	A6Vn+A7Vn             
133 	* del Cru                	bC*	183.78631969 -58.74892693  	 1.63 	 2.587	 2.775	     ~	     ~	B2IV                  
134 	* eps CrB                	** 	239.39688111 +26.87787876  	 6.650	 5.360	 4.130	 3.27 	 2.64 	K2III                 
135 	* 29 Boo A               	*i*	220.18150 +16.41831        	     ~	     ~	 4.9  	     ~	     ~	~                     
136 	* P Pup                  	** 	117.30956400 -46.37320617  	 2.92 	 3.93 	 4.11 	 4.19 	 4.36 	B0III                 
137 	* 4 UMi                  	SB*	212.21219393 +77.54751294  	     ~	 6.205	 4.813	     ~	     ~	K3III                 
138 	* 24 Cep                 	*  	332.45179261 +72.34120582  	     ~	 5.699	 4.801	     ~	     ~	G7II-III              
139 	* lam Cru                	bC*	193.66326073 -59.14670080  	 3.86 	 4.462	 4.602	     ~	     ~	B3Vne                 
140 	V* VV Cep                	Al*	329.16309937 +63.62556040  	 7.03 	 6.65 	 4.90 	 3.19 	 1.85 	M2epIa-Iab+B8:eV      
141 	* k02 Pup                	V* 	114.707788 -26.803833      	     ~	 4.26 	 4.429	     ~	     ~	B5IV                  
