C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST09:29:02

Vmag < 6
--------

Number of objects : 5156

 #  ;            identifier             ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;   radvel   ;  Mag V  
1957;HD 5098                            ;013.1692691187600 -24.0058430898200;  37.140 34.298     ;6.0619    ;37.09       ;5.48     
1958;* 48 Cet                           ;022.4005653838900 -21.6293361032900;   56.469 4.134     ;13.8965   ;-0.10       ;5.104    
1959;HD 10148                           ;024.7157856302800 -21.2753848634000; 128.729 36.873     ;13.8981   ;15.50       ;5.58     
1960;* 57 Cet                           ;029.9425000068500 -20.8245385730700;  18.826 15.860     ;4.7635    ;-9.37       ;5.429    
1961;* ups Cet                          ;030.0012881737 -21.0778318253      ;  134.92 -24.59     ;11.14     ;18.00       ;4.02     
1962;HD 13692                           ;033.2541147460200 -21.0001347204200;  55.983 42.118     ;8.7399    ;38.4        ;5.867    
1963;HD 15220                           ;036.6467385199500 -20.0426169714100; 85.518 101.677     ;11.2536   ;42.4        ;5.881    
1964;* tau01 Eri                        ;041.2758283362062 -18.5726228277553; 318.568 48.171     ;70.0459   ;25.90       ;4.46     
1965;* 29 Cap                           ;318.9368430979800 -15.1715013381400;   23.818 4.264     ;4.6316    ;-37.80      ;5.317    
1966;* iot Cap                          ;320.5616485325 -16.8345443886      ;     30.00 4.52     ;16.58     ;12.271      ;4.27     
1967;* kap Cap                          ;325.6646170042121 -18.8663208842267; 146.354 -8.343     ;10.6991   ;-2.60       ;4.726    
1968;* gam Cap                          ;325.0227353242 -16.6623075511      ;  187.56 -22.45     ;20.77     ;-31.20      ;3.67     
1969;* 35 Aqr                           ;332.2457930129900 -18.5195933970100;  -0.086 -8.184     ;1.335     ;-7.20       ;5.793    
1970;[SGR85] 37-51 1                    ;332.2458 -18.5197                  ;            ~ ~     ;      ~   ;~           ;5.84     
1971;* ups Aqr                          ;338.6734824420800 -20.7082158102700;221.185 -147.090    ;43.4396   ;-2.28       ;5.203    
1972;* g Aqr                            ;340.8968044433 -18.8303765794      ;  -31.73 -28.54     ;7.53      ;21.70       ;4.69     
1973;* 68 Aqr                           ;341.8880142930500 -19.6133747513500;-103.254 -206.394   ;12.1682   ;25.11       ;5.26     
1974;HD 217703                          ;345.6843771116400 -20.8707117493100;-58.815 -129.675    ;13.6014   ;26.28       ;5.976    
1975;* c02 Aqr                          ;347.3616501872496 -21.1724152050081;  53.452 30.201     ;12.6710   ;21.30       ;3.64     
1976;* b01 Aqr                          ;350.7426085863 -20.1005823100      ; -121.28 -97.59     ;19.96     ;-6.10       ;3.98     
1977;* b02 Aqr                          ;351.5116069179 -20.6420175092      ;  -50.72 -64.22     ;11.51     ;15.7        ;4.39     
1978;* b03 Aqr                          ;353.31926250 -20.91450430          ;     -3.41 8.46     ;11.11     ;15.00       ;4.758    
1979;V* T Cet                           ;005.4428049075 -20.0580235628      ;   61.91 -12.81     ;3.70      ;28.90       ;5.74     
1980;HD 4247                            ;011.1849838527100 -22.0061333669900; -65.737 81.841     ;36.8276   ;11.70       ;5.220    
1981;HD 4622                            ;012.0044375241700 -21.7225263039800;  27.111 -5.047     ;8.9627    ;21.50       ;5.57     
1982;HD 14728                           ;035.5207607107000 -17.6621708661000;  8.749 -58.518     ;7.7705    ;2.31        ;5.868    
1983;* 42 Cap                           ;325.3869116932721 -14.0476124422589;-121.403 -309.977   ;27.8625   ;-1.20       ;5.18     
1984;* 44 Cap                           ;325.7683210843400 -14.3997102813500;  -5.482 19.833     ;6.9967    ;-13.40      ;5.879    
1985;* 45 Cap                           ;326.0040172105600 -14.7493721848300;  -24.110 9.821     ;18.4084   ;-4.00       ;5.949    
1986;* del Cap                          ;326.7601843312 -16.1272870853      ; 261.70 -296.70     ;84.27     ;-3.40       ;2.83     
1987;* 77 Aqr                           ;343.6894578806600 -16.2719572813700;-222.327 -88.641    ;24.1373   ;-34.59      ;5.56     
1988;HD 219879                          ;349.8504439594000 -18.0753738272500;   1.609 10.199     ;2.7537    ;4.7         ;5.940    
1989;* 103 Aqr                          ;355.3937023290500 -18.0270743538200;-41.339 -71.292     ;4.3092    ;25.1        ;5.344    
1990;* 104 Aqr                          ;355.4408599010500 -17.8165319464100;   14.332 0.679     ;4.5743    ;6.52        ;4.83     
1991;* i01 Aqr                          ;356.0503254261500 -18.2769495629800;  28.825 -2.064     ;7.5902    ;16.00       ;5.239    
1992;* i03 Aqr                          ;357.8389096671 -18.9091649247      ;    26.82 -4.27     ;10.23     ;12.7        ;5.18     
1993;* 2 Cet                            ;000.9349493417 -17.3359922050      ;    25.17 -9.16     ;11.98     ;8.00        ;4.536    
1994;HD 787                             ;003.0416023515800 -17.9382508125300; 51.175 -29.035     ;4.397     ;-6.29       ;5.265    
1995;* 7 Cet                            ;003.6600689679 -18.9328651356      ;  -26.15 -73.58     ;7.29      ;-22.5       ;4.46     
1996;* bet Cet                          ;010.89737874 -17.98660632          ;   232.55 31.99     ;33.86     ;13.257      ;2.01     
1997;HD 4585                            ;011.9300882975000 -18.0613379928900;  31.478 34.945     ;8.9278    ;2.94        ;5.693    
1998;* 49 Cet                           ;023.6574111586900 -15.6763607425000;  94.351 -3.130     ;17.4725   ;10.30       ;5.607    
1999;* tau Cet                          ;026.0170130716342 -15.9374798910214;-1721.728 854.963   ;273.8097  ;-16.597     ;3.50     
2000;V* BK Cet                          ;028.2171368553900 -16.9292506304400; 41.405 -52.381     ;9.868     ;-4.30       ;5.782    
2001;HD 12583                           ;030.7440400526100 -15.3059301660300;   26.109 8.338     ;7.0475    ;8.09        ;5.864    
2002;HD 15144                           ;036.5014498385500 -15.3412486740700;-45.716 -55.170     ;12.603    ;1.50        ;5.83     
2003;* sig Cet                          ;038.0217868371 -15.2446743839      ; -80.21 -146.29     ;37.46     ;-29.4       ;4.75     
2004;HD 16825                           ;040.3921442540500 -14.5493069738800;  -6.204 42.557     ;21.3035   ;1.19        ;5.974    
2005;* pi. Cet                          ;041.0306220012 -13.8586980586      ;    -8.62 -9.07     ;8.30      ;14.98       ;4.236    
2006;* nu. Aqr                          ;317.3985370042 -11.3716903083      ;   94.12 -14.62     ;20.47     ;-11.26      ;4.52     
2007;* 18 Aqr                           ;321.0478825495599 -12.8781089649700;   89.281 8.432     ;21.0776   ;-3.00       ;5.476    
2008;* mu. Cap                          ;328.3240435189288 -13.5517685288647; 310.526 12.627     ;37.3377   ;-21.5       ;5.08     
2009;* iot Aqr                          ;331.6092809137 -13.8696837372      ;   36.89 -58.99     ;18.62     ;-9.00       ;4.27     
2010;* 42 Aqr                           ;334.2001908858799 -12.8314328823600;    3.567 6.028     ;7.4283    ;11.62       ;5.333    
2011;* 45 Aqr                           ;334.7530866458700 -13.3049927170800;  73.431 -8.823     ;9.8323    ;30.0        ;5.959    
2012;* 50 Aqr                           ;336.1127506867 -13.5293691564      ;    50.28 14.25     ;7.12      ;-21.1       ;5.752    
2013;* tau Aqr                          ;342.3979232008 -13.5926324003      ;  -13.71 -39.03     ;10.27     ;1.10        ;3.98     
2014;* tau01 Aqr                        ;341.9282061090300 -14.0564281366400;  30.413 -9.053     ;9.1322    ;15.00       ;5.681    
2015;* del Aqr                          ;343.6625260741300 -15.8208195652000;-34.152 -26.359     ;23.1451   ;17.40       ;3.28     
2016;* 97 Aqr                           ;350.66321303 -15.03934014          ;   117.00 16.48     ;15.30     ;-14.00      ;5.22     
2017;HD 221745                          ;353.7056647381400 -15.2460023036700; 47.807 -86.911     ;8.5286    ;-34.63      ;5.944    
2018;* ome01 Aqr                        ;354.9461224562700 -14.2221536519800; 50.434 -49.097     ;24.9012   ;-2.00       ;4.977    
2019;* ome02 Aqr                        ;355.6806030283 -14.5449034206      ;   99.28 -66.32     ;21.96     ;3.20        ;4.484    
2020;HD 222643                          ;355.6159269359400 -15.4480289485300; 14.608 -21.282     ;4.3874    ;9.50        ;5.257    
2021;HD 223559                          ;357.6386866038500 -14.4014969804600; 37.330 -21.696     ;5.3125    ;-62.84      ;5.691    
2022;HD 223774                          ;358.1249611026900 -14.2512116203600; -95.869 -2.202     ;9.085     ;4.80        ;5.848    
2023;HD 225197                          ;001.0824617326100 -16.5290366185700; 48.748 -60.925     ;9.5289    ;25.95       ;5.769    
2024;* 6 Cet                            ;002.8160751647800 -15.4679779078900;-82.828 -269.549    ;52.9489   ;14.917      ;4.89     
2025;* 46 Cet                           ;021.4051643485000 -14.5987851581800; 38.357 -18.188     ;11.3726   ;-25.25      ;4.907    
2026;* 50 Cet                           ;023.9957072232500 -15.4001822795500;  17.050 14.282     ;5.3393    ;21.06       ;5.402    
2027;* rho Cet                          ;036.4875243559600 -12.2904743067100; -11.596 -9.786     ;5.8054    ;18.90       ;4.866    
2028;* eps Cet                          ;039.8908225535008 -11.8720976755967; 161.62 -230.53     ;42.4864   ;15.49       ;4.87     
2029;* 17 Aqr                           ;320.7344102583700 -09.3193280247400;-29.458 -29.125     ;4.598     ;21.120      ;5.965    
2030;* 19 Aqr                           ;321.3042624136999 -09.7485571787300;19.521 -166.680     ;11.768    ;-20.60      ;5.713    
2031;* lam Cap                          ;326.6337379850600 -11.3659552279200;  29.007 -9.420     ;12.0253   ;-2.40       ;5.567    
2032;* e Aqr                            ;332.6561752708 -11.5649376047      ;     29.29 8.76     ;7.25      ;-1.70       ;5.422    
2033;* sig Aqr                          ;337.6617558490300 -10.6779180573000; -4.095 -38.019     ;15.8247   ;11.70       ;4.81     
2034;* 74 Aqr                           ;343.3696038242300 -11.6165147648800;   21.539 2.282     ;5.5008    ;-7.10       ;5.780    
2035;* 94 Aqr                           ;349.7779966590100 -13.4588405540000;264.634 -59.482     ;39.4019   ;10.32       ;5.18     
2036;HD 222093                          ;354.4148333343600 -13.0602412339700;  34.875 26.451     ;11.0119   ;-12.56      ;5.654    
2037;HD 222493                          ;355.28713774 -11.68065257          ;     70.51 4.00     ;9.34      ;-9.40       ;5.920    
2038;HD 223170                          ;356.8162997000400 -11.9111281266100;-49.452 -94.544     ;10.1227   ;11.2        ;5.731    
2039;HD 645                             ;002.6784754465900 -12.5798982362100;148.266 -38.950     ;13.729    ;8.24        ;5.849    
2040;HD 4730                            ;012.3567371880200 -13.5612710527500;105.489 -104.481    ;9.9817    ;3.59        ;5.594    
2041;* phi03 Cet                        ;014.0062066203900 -11.2665260451500; -27.758 -7.484     ;6.2394    ;-25.48      ;5.326    
2042;* phi04 Cet                        ;014.6827835521700 -11.3799751923400;-32.898 -14.466     ;9.7501    ;-19.24      ;5.614    
2043;* 47 Cet                           ;021.7148532012000 -13.0565110984600;   13.929 9.616     ;28.232    ;11.374      ;5.505    
2044;* chi Cet                          ;027.3962615252579 -10.6864086109725;-147.867 -93.480    ;42.5848   ;0.61        ;4.68     
2045;* zet Cet                          ;027.8651306176100 -10.3350310662900; 39.752 -40.956     ;12.877    ;7.80        ;3.72     
2046;HD 13456                           ;032.8426090321700 -10.0521609097100;-27.612 -170.791    ;19.9768   ;14.76       ;5.999    
2047;HD 14691                           ;035.5063820931900 -10.7775354478800;153.249 -82.013     ;33.5081   ;12.00       ;5.421    
2048;HD 16673                           ;040.0517542102800 -09.4528709250600;-136.929 -78.931    ;45.916    ;-2.50       ;5.790    
2049;* eta Eri                          ;044.1068728496 -08.8981450275      ;  77.36 -220.16     ;23.89     ;-20.32      ;3.87     
2050;* ksi Aqr                          ;324.4379554463 -07.8542027553      ;  114.20 -25.03     ;18.26     ;-18.0       ;4.69     
2051;* c Cap                            ;326.2510611362200 -09.0824276723300;  13.438 -1.900     ;4.1906    ;-15.52      ;5.079    
2052;* tet Aqr                          ;334.2084861858400 -07.7832887425319;118.929 -21.928     ;17.0893   ;-13.77      ;4.16     
2053;HD 211392                          ;334.2190305738100 -09.0400547513400;-57.013 -10.167     ;9.4163    ;12.1        ;5.791    
2054;* rho Aqr                          ;335.0496523940700 -07.8211019432800;  14.803 -0.472     ;4.3443    ;-9.0        ;5.339    
2055;* psi01 Aqr                        ;348.9728918732375 -09.0877347122369;369.477 -16.981     ;22.0924   ;-26.008     ;4.25     
2056;* psi02 Aqr                        ;349.4758905025 -09.1825187567      ;   17.13 -11.70     ;8.12      ;-5.00       ;4.40     
2057;* psi03 Aqr                        ;349.7403194222300 -09.6107487126200;  44.346 -7.951     ;14.1132   ;-10.00      ;5.003    
2058;HD 223524                          ;357.5613735874400 -09.9741370412800; 137.428 78.013     ;10.312    ;-16.78      ;5.936    
2059;* h Aqr                            ;358.2105386550600 -08.9967578159200; 62.615 -24.384     ;6.6034    ;-15.83      ;5.747    
2060;HD 360                             ;002.0730517948900 -08.8241116233300;-34.160 -34.877     ;9.0115    ;20.4        ;5.980    
2061;* 3 Cet                            ;001.1254928050 -10.5095235808      ;   -6.85 -12.02     ;1.56      ;-42.10      ;4.924    
2062;* iot Cet                          ;004.8569756808 -08.8239197375      ;  -15.15 -37.11     ;11.88     ;19.35       ;3.55     
2063;HD 1064                            ;003.7271478401000 -09.5695631134600;  20.378 -9.617     ;9.19      ;19.90       ;5.749    
2064;* phi01 Cet                        ;011.0475005258 -10.6095504542      ;  -8.96 -113.82     ;13.96     ;-0.10       ;4.767    
2065;* 28 Cet                           ;016.5214526772000 -09.8393552099100;   30.465 6.264     ;6.0959    ;12.40       ;5.565    
2066;* 30 Cet                           ;016.9425364784900 -09.7855506811900; 149.194 17.126     ;21.3225   ;22.15       ;5.705    
2067;* eta Cet                          ;017.1474645113 -10.1822658208      ; 215.61 -139.02     ;26.32     ;11.10       ;3.45     
2068;* tet Cet                          ;021.0058553458 -08.1832559036      ; -77.94 -206.53     ;28.66     ;17.20       ;3.59     
2069;V* AR Cet                          ;030.1117612762 -08.5238736022      ;   86.13 -19.57     ;6.85      ;12.69       ;5.51     
2070;* 77 Cet                           ;038.6775985185400 -07.8594451696100; 59.658 -63.960     ;6.5487    ;24.9        ;5.731    
2071;* 80 Cet                           ;039.0001994045700 -07.8315960548600;-34.087 -59.120     ;6.0024    ;14.1        ;5.535    
2072;* 12 Aqr A                         ;316.0196849637900 -05.8230596187600;  13.501 -7.222     ;5.4597    ;2.24        ;5.80     
2073;* 15 Aqr                           ;319.5461362469500 -04.5194798954700;  12.314 12.776     ;4.508     ;-9.00       ;5.812    
2074;* 16 Aqr                           ;320.2679972025400 -04.5601248601900; -11.042 11.206     ;9.6264    ;-6.0        ;5.848    
2075;* bet Aqr                          ;322.8897154783 -05.5711755572      ;    18.77 -8.21     ;6.07      ;6.451       ;2.89     
2076;* 30 Aqr                           ;330.8185756376500 -06.5224073518100;   45.517 8.126     ;10.7574   ;39.74       ;5.543    
2077;* 44 Aqr                           ;334.2770816053999 -05.3871654561900;  -4.654 18.750     ;9.2521    ;7.4         ;5.751    
2078;HD 212320                          ;335.8839583489599 -07.1944122781800;    1.478 5.688     ;7.0235    ;-14.2       ;5.907    
2079;* lam Aqr                          ;343.1536418522400 -07.5795969237100;  14.964 32.742     ;8.936     ;-10.46      ;3.79     
2080;* 83 Aqr                           ;346.29077850 -07.69380148          ;    122.41 7.11     ;15.57     ;-22.10      ;5.47     
2081;* phi Aqr                          ;348.5806593350799 -06.0490064246700;36.575 -195.441     ;14.3482   ;2.48        ;4.22     
2082;* chi Aqr                          ;349.2122465054 -07.7265006294      ;  -19.18 -14.10     ;5.32      ;-13.72      ;5.06     
2083;* 30 Psc                           ;000.4900811322200 -06.0140705566800; 46.941 -40.471     ;7.8758    ;-11.70      ;4.41     
2084;* 33 Psc                           ;001.33392469 -05.70761886          ;    -6.54 87.85     ;25.32     ;-6.56       ;4.61     
2085;V* AD Cet                          ;003.6151212058 -07.7805273625      ;     62.62 4.37     ;5.60      ;0.40        ;5.12     
2086;HD 5384                            ;013.9266673333300 -07.3471487202400; -7.641 -44.637     ;5.5954    ;1.9         ;5.850    
2087;* 37 Cet                           ;018.6001695667083 -07.9228258237706;124.225 278.007     ;41.5747   ;21.846      ;5.13     
2088;HD 8556                            ;021.0854255704 -06.9146592983      ;     29.35 3.96     ;21.44     ;31.80       ;5.918    
2089;HD 9562                            ;023.4284821590400 -07.0253441116000;174.613 -82.577     ;33.5829   ;-14.95      ;5.76     
2090;HD 10824                           ;026.4969160052800 -05.7332995404900;-10.222 -29.187     ;5.5554    ;10.8        ;5.34     
2091;* 67 Cet                           ;034.2460143103600 -06.4221170613600;91.990 -107.163     ;10.0463   ;13.65       ;5.499    
2092;* 21 Aqr                           ;321.3206569850700 -03.5567463348200;-12.172 -70.551     ;7.4736    ;-24.5       ;5.469    
2093;HD 205423                          ;323.8234187176900 -03.9833047364200;  -9.703 -4.972     ;5.8199    ;-1.8        ;5.778    
2094;HD 208111                          ;328.5432198271800 -04.2761758940100; 55.258 -93.393     ;11.2047   ;-43.50      ;5.704    
2095;HD 210434                          ;332.6406128275600 -04.2668552207200;   70.600 3.340     ;10.3957   ;-20.97      ;5.980    
2096;* 51 Aqr                           ;336.0286847200 -04.8370192386      ;    26.90 -7.35     ;8.04      ;6.00        ;5.779    
2097;* kap Aqr                          ;339.4390853817 -04.2280538564      ; -69.23 -119.67     ;15.25     ;7.31        ;5.030    
2098;HD 216718                          ;343.7956734715200 -04.9879025386900;  25.543 -4.823     ;11.2152   ;-7.06       ;5.757    
2099;HD 217563                          ;345.3821214164199 -04.7114593136100;   11.849 8.305     ;3.0971    ;4.66        ;5.933    
2100;HD 219402                          ;348.8927392716200 -03.4963784075700; -12.906 -2.299     ;13.435    ;15.10       ;5.55     
2101;* 24 Psc                           ;358.2315132862400 -03.1554815552900; 75.014 -42.411     ;6.1414    ;-7.46       ;5.940    
2102;* 27 Psc                           ;359.6682378200 -03.5559827550      ;  -57.13 -72.08     ;13.91     ;-0.20       ;4.886    
2103;HD 587                             ;002.5786300283200 -05.2485880463500; 37.379 -29.357     ;17.0711   ;24.44       ;5.844    
2104;* 29 Psc                           ;000.4560338029300 -03.0275032833400; 17.905 -10.329     ;7.5845    ;23.00       ;5.10     
2105;* 12 Cet                           ;007.5098267491300 -03.9573272038600;  9.474 -12.464     ;5.7713    ;11.75       ;5.72     
2106;* 13 Cet                           ;008.81199867 -03.59284352          ;  408.34 -35.22     ;47.05     ;10.37       ;5.201    
2107;HD 3807                            ;010.1765483734600 -04.3518402831600;-16.044 -14.285     ;5.2623    ;37.05       ;5.885    
2108;* 25 Cet                           ;015.7605706253500 -04.8365992190400;-116.585 -102.608   ;9.5083    ;15.3        ;5.408    
2109;HD 10550                           ;025.6812981364800 -03.6901995393800; -9.745 -33.429     ;3.0983    ;-33.28      ;4.982    
2110;HD 12642                           ;030.9187039330800 -04.1035149178600;  7.725 -61.342     ;6.0683    ;24.5        ;5.609    
2111;* 66 Cet                           ;033.1980889513508 -02.3936296178019;377.146 -68.623     ;26.5381   ;-5.95       ;5.66     
2112;* 81 Cet                           ;039.4241753374000 -03.3961738689800; 41.765 -43.379     ;9.5199    ;9.222       ;5.647    
2113;HD 18543                           ;044.6753145848100 -02.7828970695000;-23.129 -63.423     ;8.9425    ;-6.8        ;5.23     
2114;* 5 Eri                            ;044.9215010032200 -02.4649561479900; -3.899 -22.759     ;8.6086    ;18.00       ;5.55     
2115;HD 18331                           ;044.1559339085500 -03.7123219262700;-36.264 -44.305     ;15.558    ;-10.70      ;5.160    
2116;* 32 Aqr                           ;331.1975934139500 -00.9063443785300;-18.901 -43.132     ;14.1624   ;20.4        ;5.271    
2117;* omi Aqr                          ;330.8285167883 -02.1553629883      ;   24.66 -11.16     ;7.49      ;11.00       ;4.69     
2118;* alf Aqr                          ;331.4459830479 -00.3198491017      ;    18.25 -9.39     ;6.23      ;6.829       ;2.94     
2119;* zet02 Aqr                        ;337.2078700438454 -00.0199646495603; 180.832 33.072     ;34.5070   ;24.9        ;4.34     
2120;* zet01 Aqr                        ;337.2078600866832 -00.0205449723228; 224.295 25.396     ;34.4525   ;28.9        ;4.49     
2121;* zet Aqr                          ;337.20794520 -00.01994285          ;   182.92 50.36     ;35.50     ;25.30       ;3.65     
2122;* gam Aqr                          ;335.4140482005400 -01.3873491941100; 134.223 11.219     ;25.8551   ;-15.70      ;3.834    
2123;* 60 Aqr                           ;338.5121404184500 -01.5742672225400; 41.931 -36.468     ;8.7408    ;-8.0        ;5.875    
2124;* 14 Psc                           ;353.5375622316400 -01.2475613025300;107.013 -13.851     ;14.5356   ;-2.8        ;5.870    
2125;* 20 Psc                           ;356.9855913386600 -02.7615978628300;   95.147 5.247     ;10.8544   ;-15.63      ;5.490    
2126;* 14 Cet                           ;008.8868058557400 -00.5056107563200;143.173 -62.295     ;17.4181   ;11.487      ;5.936    
2127;* 20 Cet                           ;013.2520605104 -01.1442588036      ;    6.99 -15.66     ;5.56      ;16.22       ;4.76     
2128;* 39 Cet                           ;019.1511997723700 -02.5003690623600;-100.333 -63.689    ;13.3622   ;-23.28      ;5.428    
2129;* 38 Cet                           ;018.7048854186500 -00.9737944361800;-14.263 205.414     ;23.5394   ;26.09       ;5.69     
2130;* 34 Cet                           ;017.9312839027000 -02.2510780223600;-59.156 -21.815     ;5.6213    ;-8.9        ;5.918    
2131;* 42 Cet                           ;019.95123289 -00.50903151          ;    6.35 -14.96     ;9.93      ;14.70       ;5.87     
2132;* 61 Cet                           ;030.9506815796500 -00.3402427341600; 83.085 -45.554     ;9.6577    ;22.64       ;5.942    
2133;* 63 Cet                           ;032.8993123666900 -01.8254269234000;-11.171 -31.922     ;8.6173    ;27.69       ;5.933    
2134;* 70 Cet                           ;035.5516478545200 -00.8848537596600;-18.815 -46.892     ;12.8171   ;20.00       ;5.421    
2135;* 75 Cet                           ;038.0392600399600 -01.0348934919900;-23.268 -30.987     ;12.1717   ;-6.21       ;5.358    
2136;* 84 Cet                           ;040.30832166 -00.69566235          ; 216.51 -129.33     ;44.27     ;3.90        ;5.71     
2137;* d Aqr                            ;324.8886133020900 +02.2435609289300;-30.179 -83.636     ;13.2155   ;-34.63      ;5.100    
2138;* 26 Aqr                           ;325.5421355526500 +01.2852541530100;  -3.918 -8.350     ;3.098     ;8.15        ;5.641    
2139;* 28 Aqr                           ;330.2708969375400 +00.6047180014000;  6.765 -10.993     ;5.3825    ;8.12        ;5.597    
2140;* pi. Aqr                          ;336.3192618746 +01.3773984942      ;     17.83 2.41     ;4.17      ;-4.90       ;4.64     
2141;* 2 Psc                            ;344.8643905964000 +00.9629245072300; 87.828 -68.611     ;11.7463   ;-14.23      ;5.426    
2142;* kap Psc                          ;351.7331494674400 +01.2556049758900; 87.005 -95.945     ;20.3154   ;-4.40       ;4.94     
2143;* 16 Psc                           ;354.0970193472500 +02.1022216400800;-105.325 61.073     ;30.6828   ;49.10       ;5.68     
2144;* lam Psc                          ;355.5116921592 +01.7800412250      ;-129.70 -154.80     ;30.59     ;10.00       ;4.51     
2145;V* XZ Psc                          ;358.6942675221 +00.1093107194      ;  -39.57 -13.77     ;5.12      ;-2.4        ;5.61     
2146;* 21 Psc                           ;357.3644757992600 +01.0761290253600; -2.788 -27.400     ;10.6384   ;9.50        ;5.70     
2147;* 44 Psc                           ;006.3508681799600 +01.9396924805600;-14.685 -12.777     ;5.491     ;-5.40       ;5.770    
2148;* 33 Cet                           ;017.6398043395200 +02.4456743400200; -7.089 -13.694     ;4.1948    ;2.21        ;5.942    
2149;* 60 Cet                           ;030.7985429454100 +00.1285081766400;  76.813 21.653     ;10.7315   ;13.00       ;5.423    
2150;* 69 Cet                           ;035.4859484993400 +00.3956723883100; -11.656 -7.553     ;3.8443    ;22.8        ;5.287    
2151;HD 15633                           ;037.6883468545300 +00.2557518828000;-51.227 -51.617     ;11.5937   ;-2.30       ;5.990    
2152;* del Cet                          ;039.87064912 +00.32850959          ;    12.85 -2.94     ;5.02      ;13.0        ;4.07     
2153;* 11 Peg                           ;326.8081754858300 +02.6861225045100;   6.939 -3.361     ;6.4928    ;17.0        ;5.624    
2154;* 34 Peg                           ;336.6557107853308 +04.3937793304367; 307.781 47.533     ;24.9028   ;-13.50      ;5.81     
2155;* 35 Peg                           ;336.9646796510975 +04.6956679056822;77.903 -306.244     ;21.0724   ;54.319      ;4.80     
2156;* 37 Peg A                         ;337.491382450 +04.431693678        ;   -30.7 -145.9     ;      ~   ;~           ;5.70     
2157;HD 217459                          ;345.1787515109800 +03.0118041341300;  4.849 -83.811     ;7.3335    ;18.62       ;5.848    
2158;* bet Psc                          ;345.9692228838 +03.8200461703      ;    11.76 -9.85     ;7.99      ;0.00        ;4.52     
2159;* gam Psc                          ;349.2914062129 +03.2822883264      ;   759.82 17.77     ;23.64     ;-14.48      ;3.70     
2160;* 7 Psc                            ;350.0857626938000 +05.3813078854500; 78.811 -59.761     ;9.0926    ;40.46       ;5.069    
2161;* 19 Psc                           ;356.5979851972400 +03.4868108470200;-32.086 -24.545     ;4.0894    ;-11.0       ;5.02     
2162;* 22 Psc                           ;357.9909952880000 +02.9303864325700; 15.881 -14.136     ;3.7846    ;4.32        ;5.554    
2163;HD 4628                            ;012.0957332295496 +05.2806137458206;755.894 -1141.719   ;134.4948  ;-10.165     ;5.74     
2164;* f Psc                            ;019.4498185639508 +03.6144690926950;-47.972 -21.861     ;13.1721   ;2.00        ;5.137    
2165;HD 11037                           ;027.1084142312700 +03.6854496627200;  -7.933 19.223     ;8.8309    ;5.68        ;5.904    
2166;* ksi Psc                          ;028.3889041261100 +03.1875325060800;  32.687 25.146     ;16.6641   ;26.13       ;4.604    
2167;* alf Psc B                        ;030.511259392 +02.763811289        ;     41.8 -11.0     ;      ~   ;8.8         ;5.135    
2168;HD 15694                           ;037.8753975526000 +02.2671829201300;  23.055 -9.564     ;7.5015    ;25.73       ;5.269    
2169;* gam Cet                          ;040.82516290 +03.23581638          ;-146.10 -146.12     ;40.97     ;-4.90       ;3.47     
2170;* 3 Equ                            ;316.1443817368299 +05.5028643540100;   13.115 0.752     ;2.6635    ;-15.21      ;5.585    
2171;* alf Equ                          ;318.9559663321 +05.2478452811      ;   59.88 -94.09     ;17.14     ;-16.26      ;3.933    
2172;* 4 Peg                            ;324.6330854081700 +05.7717451269000; 113.377 28.978     ;19.0529   ;-18.5       ;5.656    
2173;* 7 Peg                            ;325.5643803915700 +05.6801387868300;  10.855 -5.422     ;4.6658    ;-12.01      ;5.301    
2174;* nu. Peg                          ;331.4197956842600 +05.0585301641100;102.069 101.416     ;12.4379   ;-18.90      ;4.84     
2175;* tet Peg                          ;332.5499386467 +06.1978632639      ;   282.18 30.46     ;35.34     ;-7.90       ;3.55     
2176;* 30 Peg                           ;335.1149017046 +05.7894990847      ;     19.57 2.63     ;2.56      ;-13.80      ;5.370    
2177;* tet Psc                          ;351.9920611016038 +06.3789923064419;-125.581 -43.229    ;19.2434   ;5.73        ;4.30     
2178;* iot Psc                          ;354.9876724017 +05.6262909803      ; 377.15 -437.43     ;72.92     ;5.615       ;4.120    
2179;HD 222602                          ;355.4862074821300 +07.2505485960700;-27.486 -40.251     ;10.5925   ;-2.00       ;5.891    
2180;* d Psc                            ;005.1494251215500 +08.1902717050200;   -4.213 9.698     ;7.0581    ;14.89       ;5.370    
2181;* 51 Psc                           ;008.0990789189100 +06.9554853660900;   26.415 1.593     ;10.1557   ;16.5        ;5.679    
2182;* 60 Psc                           ;011.8484740193600 +06.7409715260800;  9.338 -20.014     ;8.6186    ;29.13       ;5.961    
2183;* 62 Psc                           ;012.0725406067300 +07.2999304706500;  111.178 4.443     ;5.4954    ;1.78        ;5.912    
2184;* del Psc                          ;012.17060139 +07.58508127          ;   83.10 -49.58     ;10.48     ;32.45       ;4.44     
2185;* eps Psc                          ;015.7358692738 +07.8901348672      ;   -80.17 25.59     ;17.94     ;7.74        ;4.28     
2186;* e Psc                            ;017.0925559752800 +05.6498506950194;-284.710 -193.578   ;28.9357   ;10.90       ;5.501    
