C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST09:29:02

Vmag < 6
--------

Number of objects : 5156

 #  ;            identifier             ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;   radvel   ;  Mag V  
127 ;V* V416 Lac                        ;339.6580137704546 +56.7956327447828; 52.754 -31.869     ;7.2234    ;6.77        ;5.167    
128 ;HD 213930                          ;338.4193726272600 +56.6247376413700;  78.194 41.393     ;9.4506    ;-8.26       ;5.720    
129 ;HD 216174                          ;342.4429782145300 +55.9027766997100;  82.605 37.823     ;8.2924    ;-33.14      ;5.439    
130 ;V* V509 Cas                        ;345.0212550910600 +56.9453752434200;  -3.013 -2.213     ;0.2507    ;-50.20      ;5.13     
131 ;HD 219134                          ;348.3207290015033 +57.1683566176719;2074.414 294.452    ;152.8640  ;-18.475     ;5.570    
132 ;V* AR Cas                          ;352.5080859874299 +58.5489200514200;   17.957 4.441     ;4.8857    ;-15.9       ;4.886    
133 ;* tau Cas                          ;356.7643932733900 +58.6519910357300;  60.379 56.828     ;18.7789   ;-20.48      ;4.873    
134 ;HD 223173                          ;356.7579935646600 +57.4513590406400;   3.264 -7.280     ;2.0215    ;-7.54       ;5.503    
135 ;* rho Cas                          ;358.5959688760500 +57.4993818715000;  -4.699 -3.112     ;0.9470    ;-54.30      ;4.59     
136 ;* alf Cas                          ;010.1268377829 +56.5373311583      ;   50.88 -32.13     ;14.29     ;-4.204      ;2.23     
137 ;* eta Cas                          ;012.2762274762175 +57.8151772888100;1078.609 -551.133   ;168.8322  ;8.404       ;3.44     
138 ;* tet Cas                          ;017.7756760283 +55.1499020164      ;  226.77 -18.75     ;24.42     ;2.50        ;4.330    
139 ;* 1 Per                            ;027.9971670169200 +55.1473843593700;  12.716 -8.410     ;2.6944    ;-5.40       ;5.52     
140 ;* g Per                            ;030.5754516905400 +54.4875403155500;  34.245 -2.924     ;4.0763    ;-2.30       ;5.04     
141 ;* tet Per                          ;041.0499442308762 +49.2284485192150;334.708 -89.251     ;89.6850   ;24.394      ;4.11     
142 ;HD 18474                           ;044.9574571387500 +47.2207131058600;  11.942 19.877     ;6.5326    ;2.62        ;5.485    
143 ;* nu. Per                          ;056.2984668088 +42.5785508022      ;    -14.45 2.53     ;5.86      ;-12.10      ;3.80     
144 ;HD 192985                          ;304.0025647175800 +45.5795250237600;  9.908 -54.841     ;29.2845   ;-44.385     ;5.864    
145 ;HD 194152                          ;305.5223652026400 +45.7949993525900;  24.387 37.544     ;7.5785    ;-24.56      ;5.572    
146 ;V* V2015 Cyg                       ;308.4785148351900 +46.6938520791500;   15.479 5.003     ;5.9464    ;-21.7       ;5.769    
147 ;* 51 Cyg                           ;310.5526271694100 +50.3400186015400;    2.629 3.946     ;2.6729    ;-4.70       ;5.401    
148 ;HD 199611                          ;314.1061561825500 +50.7285967491300; 35.354 -22.298     ;19.4264   ;-9.48       ;5.820    
149 ;HD 199955                          ;314.62514105 +50.46178914          ;      8.89 2.54     ;3.02      ;-21.00      ;5.90     
150 ;HD 200817                          ;315.9484266735700 +53.2859116797900;  44.869 26.591     ;7.0884    ;-17.84      ;5.918    
151 ;HD 201834                          ;317.5648888431600 +53.5631007849400;  22.388 -3.628     ;7.135     ;-21.4       ;5.747    
152 ;HD 204428                          ;321.6873739970100 +52.8985362291800;   15.480 4.697     ;6.2053    ;-30.30      ;5.987    
153 ;HD 208095                          ;328.0043306569800 +55.7967495929900;   16.795 1.766     ;5.1169    ;-6.5        ;5.657    
154 ;* 13 Cep                           ;328.7214745337200 +56.6112263958200;  -3.825 -2.638     ;0.9126    ;-20.40      ;5.80     
155 ;* 14 Cep                           ;330.5190526126099 +58.0003638218100;  -3.096 -2.611     ;0.907     ;-11.33      ;5.542    
156 ;* zet Cep                          ;332.7136538163 +58.2012626631      ;     13.52 5.24     ;3.90      ;-17.83      ;3.35     
157 ;HD 211554                          ;334.1106797064200 +57.2202381409700;   47.092 5.013     ;5.2856    ;-7.96       ;5.882    
158 ;* del Cep                          ;337.2927709100 +58.4151982933      ;     15.35 3.52     ;3.77      ;-24.00      ;3.75     
159 ;HD 216595                          ;343.2657688022800 +60.1010309928000;   12.341 3.365     ;1.9819    ;-7.04       ;5.984    
160 ;* 1 Cas                            ;346.6534077321 +59.4197599161      ;     6.94 -1.95     ;2.89      ;-9.10       ;4.840    
161 ;* 2 Cas                            ;347.4339120861600 +59.3326908497600;    0.335 0.552     ;1.19      ;-12.0       ;5.679    
162 ;HD 220369                          ;350.6355531396900 +60.1334867126400;   6.564 -1.308     ;2.1569    ;-11.07      ;5.513    
163 ;* bet Cas                          ;002.29452158 +59.14978110          ; 523.50 -179.77     ;59.58     ;4.30        ;2.27     
164 ;HD 1239                            ;004.2376797439600 +61.5331857388600;  -6.429 -3.465     ;4.8081    ;-1.75       ;5.737    
165 ;V* V567 Cas                        ;001.2756286688300 +61.3139700909900;   14.981 2.054     ;4.7337    ;4.40        ;5.791    
166 ;HD 224893                          ;000.4042334910900 +61.2227998572800;   -1.765 0.027     ;1.3825    ;-23.2       ;5.567    
167 ;HD 3283                            ;009.1139359699000 +60.3262132071500;   2.303 -1.662     ;1.0737    ;-8.5        ;5.792    
168 ;HD 2626                            ;007.5830600930800 +59.9775526324600;  13.798 -5.049     ;3.2021    ;-17.4       ;5.94     
169 ;HD 5015                            ;013.2674851758000 +61.1239720249600;-68.298 169.435     ;52.9017   ;20.682      ;4.80     
170 ;HD 5408                            ;014.19571524 +60.36283867          ;    26.13 -3.79     ;6.06      ;-8.70       ;5.566    
171 ;* ups01 Cas                        ;013.7506487615800 +58.9726992072100;-31.200 -44.986     ;9.062     ;-22.36      ;4.820    
172 ;* ups02 Cas                        ;014.1662714433700 +59.1810570241900;-92.611 -45.397     ;16.6465   ;-47.941     ;4.622    
173 ;* gam Cas                          ;014.1772154 +60.7167403            ;    25.65 -3.82     ;5.32      ;-6.8        ;2.39     
174 ;HD 6676                            ;017.1394427624800 +58.2634513910700; 18.009 -13.163     ;4.1778    ;-4.00       ;5.767    
175 ;* chi Cas                          ;023.4828394889600 +59.2320539143100;-44.188 -18.538     ;16.2553   ;6.66        ;4.681    
176 ;HD 9353                            ;023.3571149326600 +58.3273469899900;   5.674 -8.047     ;1.7207    ;-9.51       ;5.709    
177 ;* phi Cas                          ;020.0204852774400 +58.2316132344100;  -1.479 -1.231     ;0.2142    ;-18.90      ;4.98     
178 ;HD 9900                            ;024.5315270901500 +57.9776320306400;   2.988 -6.424     ;2.4121    ;-10.49      ;5.536    
179 ;* i Per                            ;035.5893096279400 +55.8456528759100;   0.640 -1.692     ;0.7852    ;-15.2       ;5.17     
180 ;HD 16735                           ;040.7480134590600 +53.5261073251400; 57.121 -31.398     ;10.1045   ;-13.49      ;5.835    
181 ;* tau Per                          ;043.5644905034600 +52.7624674264700;  -8.311 -2.580     ;12.3726   ;2.20        ;3.96     
182 ;HD 18537                           ;045.2175459434600 +52.3517355895300; 28.383 -25.329     ;6.6753    ;-4.30       ;5.219    
183 ;* 29 Per                           ;049.6572570530000 +50.2221763049100; 23.008 -24.435     ;5.5326    ;-1.50       ;5.157    
184 ;* 31 Per                           ;049.7818303531400 +50.0949693787300; 22.756 -24.446     ;5.7653    ;-1.60       ;5.032    
185 ;* sig Per                          ;052.6436890250900 +47.9952163484000;   3.954 18.968     ;9.506     ;14.36       ;4.36     
186 ;HD 21551                           ;052.6539672240600 +48.1036037473500; 21.285 -26.856     ;5.6158    ;0.00        ;5.82     
187 ;HD 21699                           ;053.0358684158200 +48.0234801524100; 18.314 -28.723     ;5.6378    ;2.60        ;5.461    
188 ;HD 19845                           ;048.3494679592500 +48.1769556839200; 16.461 -17.775     ;9.9204    ;-10.83      ;5.913    
189 ;HD 20809                           ;050.8049877360000 +49.2132707827700; 22.060 -24.959     ;5.6817    ;-0.50       ;5.30     
190 ;Cl Melotte 20 772                  ;051.9954662137400 +49.0195282963800;   0.240 -1.956     ;0.4559    ;~           ;4.989    
191 ;* 36 Per                           ;053.1094136030700 +46.0568615573800;-53.125 -74.830     ;27.0579   ;-49.0       ;5.32     
192 ;HD 23300                           ;056.4969163847300 +45.6818993325400; 22.002 -18.691     ;4.6643    ;2.2         ;5.655    
193 ;HD 23838                           ;057.5184381304000 +44.9678690666000;-40.641 -31.372     ;11.1856   ;18.40       ;5.657    
194 ;V* V376 Per                        ;057.2837906976600 +43.9631393453500;  -3.453 11.469     ;14.6959   ;-11.10      ;5.970    
195 ;HD 189684                          ;299.8351002102099 +45.7725415825700;  9.326 -18.723     ;7.5925    ;6.40        ;5.933    
196 ;* 30 Cyg                           ;303.3252244331900 +46.8156752644300;  13.597 -1.396     ;5.1207    ;-26.00      ;4.819    
197 ;* omi02 Cyg                        ;303.8680175512000 +47.7142260923600;   0.180 -2.319     ;3.2558    ;-14.4       ;3.98     
198 ;* 43 Cyg                           ;306.7594478900400 +49.3833623318200;  68.774 56.819     ;25.6035   ;-20.0       ;5.715    
199 ;* ome01 Cyg                        ;307.5147539413700 +48.9515668247800;   10.058 6.873     ;2.5459    ;-21.90      ;4.936    
200 ;* ome02 Cyg                        ;307.8284022818300 +49.2202954980400;  8.959 -32.092     ;7.1833    ;-64.15      ;5.44     
201 ;V* U Cyg                           ;304.9024776324000 +47.8941935227300;   -2.081 2.416     ;1.2992    ;10.0        ;5.90     
202 ;HD 202987                          ;319.3093638746100 +55.7980016619100;  16.822 13.546     ;2.6343    ;-21.62      ;5.975    
203 ;HD 206267                          ;324.7400815716799 +57.4890427823000;  -3.631 -5.493     ;1.3604    ;-7.8        ;5.62     
204 ;* mu. Cep                          ;325.8769210725 +58.7800444947      ;     5.36 -3.51     ;0.55      ;23.00       ;4.08     
205 ;HD 210939                          ;333.0083984651000 +60.7590978573400;   1.038 10.471     ;7.9198    ;-5.11       ;5.359    
206 ;* lam Cep                          ;332.8774021296000 +59.4144872958000; -7.020 -10.812     ;1.1761    ;-75.10      ;5.05     
207 ;HD 216380A                         ;342.8442884344800 +61.6967414784400;  94.754 42.911     ;14.0668   ;-0.88       ;5.931    
208 ;* 4 Cas                            ;351.2094265613 +62.2828081542      ;   12.29 -12.44     ;4.15      ;-38.98      ;4.955    
209 ;* 10 Cas                           ;001.6105721928200 +64.1961579699500;    9.248 0.828     ;3.407     ;-0.90       ;5.59     
210 ;* 9 Cas                            ;001.0569268875700 +62.2876642308100;  -0.936 -0.263     ;1.3781    ;-16.90      ;5.884    
211 ;* 12 Cas                           ;006.1979394689500 +61.8310578050800;  14.126 -2.715     ;3.8102    ;-4.00       ;5.377    
212 ;* kap Cas                          ;008.2499633179 +62.9317826039      ;     3.65 -2.07     ;0.73      ;0.30        ;4.16     
213 ;HD 6210                            ;016.0810461929800 +61.5801839549900;-79.837 -24.915     ;12.7218   ;-19.24      ;5.833    
214 ;* del Cas                          ;021.4539644621 +60.2352840297      ;  296.57 -49.22     ;32.81     ;6.70        ;2.680    
215 ;* 44 Cas                           ;025.8323194590000 +60.5513324754700; 13.111 -11.845     ;3.5725    ;-30.50      ;5.76     
216 ;HD 12953                           ;032.1690795681600 +58.4236029762800;  -1.133 -0.704     ;0.3841    ;-35.8       ;5.68     
217 ;* 8 Per                            ;034.4995301125600 +57.8998213212200;   60.692 5.556     ;7.8978    ;1.10        ;5.748    
